trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
217,False,"{'a': 0.7, 'e': 0.1141776169108365}",25,18,16.5690633584,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.7, 'e': 0.11304153064044985}",20,10,19.3555413345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.7, 'e': 0.11191674861732888}",20,7,23.6461030954,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.7, 'e': 0.11080315836233387}",20,2,18.12888561,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.7, 'e': 0.10970064851551141}",20,2,23.7437916052,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.7, 'e': 0.10860910882495796}",20,13,1.48357775297,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.7, 'e': 0.10752843013579495}",20,14,0.714344679049,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.7, 'e': 0.1064585043792528}",25,6,19.5080339982,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.7, 'e': 0.10539922456186433}",25,20,11.270590263,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.7, 'e': 0.104350484754765}",20,10,5.39034711273,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.7, 'e': 0.1033121800831002}",20,8,-13.0987581707,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
228,False,"{'a': 0.7, 'e': 0.10228420671553744}",25,5,17.8849842939,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.7, 'e': 0.1012664618538834}",35,18,29.7702722073,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.7, 'e': 0.1002588437228037}",25,16,-8.38533028621,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
231,False,"{'a': 0.7, 'e': 0.09926125155964566}",25,14,-22.0596172471,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
232,False,"{'a': 0.7, 'e': 0.09827358560436154}",25,11,28.0176999141,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.7, 'e': 0.09729574708953276}",30,18,-20.9863714561,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
234,False,"{'a': 0.7, 'e': 0.09632763823049303}",20,15,2.41369988211,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.7, 'e': 0.09536916221554961}",20,0,27.648770984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
236,False,"{'a': 0.7, 'e': 0.09442022319630235}",25,0,-5.41361522855,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
237,False,"{'a': 0.7, 'e': 0.09348072627805847}",25,3,22.8346945395,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.7, 'e': 0.09255057751034329}",20,5,11.2046462147,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.7, 'e': 0.09162968387750484}",20,8,22.4041998235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.7, 'e': 0.09071795328941251}",25,14,-0.22628828846,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
241,False,"{'a': 0.7, 'e': 0.08981529457224763}",25,17,13.2212635369,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.7, 'e': 0.08892161745938634}",35,13,40.5976053383,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.7, 'e': 0.08803683258237255}",20,7,23.2047576124,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.7, 'e': 0.0871608514619813}",20,11,16.8628812117,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.7, 'e': 0.0862935864993705}",20,0,33.041602859,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
246,False,"{'a': 0.7, 'e': 0.08543495096732123}",20,6,26.5980798272,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.7, 'e': 0.08458485900156469}",30,20,14.9754638852,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.7, 'e': 0.08374322559219596}",20,0,11.6957912283,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.7, 'e': 0.08290996657517266}",20,4,16.8115305888,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.7, 'e': 0.0820849986238988}",20,0,25.5140367522,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
251,False,"{'a': 0.7, 'e': 0.08126823924089167}",20,1,-18.4409176756,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
252,False,"{'a': 0.7, 'e': 0.08045960674953244}",20,14,11.7160590907,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.7, 'e': 0.07965902028589801}",25,17,3.50564215943,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.7, 'e': 0.07886639979067495}",20,13,15.6759554826,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.7, 'e': 0.07808166600115313}",35,16,-49.117212781,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
256,False,"{'a': 0.7, 'e': 0.07730474044329974}",25,16,16.7135102225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.7, 'e': 0.07653554542391151}",30,7,19.4599624455,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.7, 'e': 0.07577400402284548}",25,20,7.66623801815,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.7, 'e': 0.07502004008532698}",35,15,27.0897118589,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.7, 'e': 0.07427357821433388}",30,7,25.7508609891,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.7, 'e': 0.0735345437630571}",20,12,15.4822374832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.7, 'e': 0.07280286282743559}",20,13,12.1415955745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.7, 'e': 0.0720784622387661}",25,7,21.4534677588,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.7, 'e': 0.07136126955638605}",20,8,18.8845541923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.7, 'e': 0.0706512130604296}",30,19,-1.16427669372,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
266,False,"{'a': 0.7, 'e': 0.06994822174465536}",30,17,20.5889504702,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.7, 'e': 0.069252225309346}",25,19,2.85447266744,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.7, 'e': 0.06856315415427791}",20,12,15.3327092671,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.7, 'e': 0.06788093937176144}",25,19,12.8120182148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.7, 'e': 0.06720551273974976}",20,14,9.77436165229,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.7, 'e': 0.06653680671501686}",20,12,10.831204836,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.7, 'e': 0.06587475442640295}",30,18,22.5311274527,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.7, 'e': 0.06521928966812753}",25,17,14.728485786,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.7, 'e': 0.06457034689316847}",20,6,21.3866003617,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.7, 'e': 0.06392786120670757}",25,17,18.2772391014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.7, 'e': 0.0632917683596407}",20,14,10.6625928754,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.7, 'e': 0.06266200474215315}",30,18,22.0971880551,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.7, 'e': 0.06203850737735829}",20,16,6.70019515288,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.7, 'e': 0.06142121391500013}",20,12,2.40776110029,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.7, 'e': 0.06081006262521795}",20,13,10.3483211382,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.7, 'e': 0.06020499239237354}",20,14,9.11917251278,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.7, 'e': 0.05960594270893937}",20,12,14.1653268743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.7, 'e': 0.05901285366944784}",30,10,35.2997662921,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.7, 'e': 0.05842566596450083}",20,11,16.5045366191,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.7, 'e': 0.057844320874838456}",20,14,15.4630652483,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.7, 'e': 0.05726876026546736}",25,17,11.2279909604,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.7, 'e': 0.0566989265798469}",30,14,30.6818445148,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.7, 'e': 0.056134762834133725}",25,17,16.3151645663,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.7, 'e': 0.05557621261148306}",20,9,17.9898083644,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.7, 'e': 0.05502322005640723}",25,7,31.9925593789,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.7, 'e': 0.05447572986918986}",20,9,19.1981543471,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.7, 'e': 0.05393368730035602}",25,16,-5.12561561755,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
293,False,"{'a': 0.7, 'e': 0.053397038145197084}",20,4,29.7580607211,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.7, 'e': 0.05286572873835037}",25,13,22.9852439592,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.7, 'e': 0.05233970594843238}",20,14,10.0637461583,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.7, 'e': 0.05181891717272583}",20,15,11.1126405526,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.7, 'e': 0.05130331033191911}",25,18,13.7629069322,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.7, 'e': 0.0507928338648985}",25,8,28.6702016146,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.7, 'e': 0.050287436723591865}",25,17,14.12020256,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.7, 'e': 0.049787068367863944}",25,8,32.3594031672,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.7, 'e': 0.04929167876046215}",25,13,24.538867669,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.7, 'e': 0.04880121836201296}",25,13,-19.8382309355,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
303,False,"{'a': 0.7, 'e': 0.04831563812606777}",25,15,20.0352527105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.7, 'e': 0.04783488949419837}",25,9,30.595332366,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.7, 'e': 0.04735892439114091}",20,16,8.52586567811,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.7, 'e': 0.046887695219988486}",25,17,14.443660146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.7, 'e': 0.04642115485743125}",20,0,29.4471988945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
308,False,"{'a': 0.7, 'e': 0.045959256649044204}",20,10,16.0048641819,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.7, 'e': 0.04550195440462157}",20,0,23.3701266955,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
310,False,"{'a': 0.7, 'e': 0.0450492023935578}",20,16,9.37577827503,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.7, 'e': 0.044600955340274535}",25,12,23.0088710617,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.7, 'e': 0.04415716841969286}",30,20,17.900434351,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.7, 'e': 0.04371779725275094}",20,0,25.5082958134,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
314,False,"{'a': 0.7, 'e': 0.043282797901965896}",20,16,8.78062411632,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.7, 'e': 0.04285212686704019}",25,8,30.2898762696,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.7, 'e': 0.042425741080511385}",35,24,20.5681760102,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.7, 'e': 0.04200359790344555}",25,9,29.5949914438,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.7, 'e': 0.04158565512117316}",20,7,19.1471838399,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.7, 'e': 0.04117187093906774}",20,8,-18.4780844924,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
320,False,"{'a': 0.7, 'e': 0.04076220397836621}",20,12,15.8658147202,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.7, 'e': 0.04035661327203115}",30,19,20.2908909115,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.7, 'e': 0.039955058260653896}",25,8,30.7543774186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.7, 'e': 0.039557498788398725}",20,13,13.0666448214,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.7, 'e': 0.039163895098987066}",20,9,21.8825807892,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.7, 'e': 0.03877420783172201}",20,14,10.1225330242,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.7, 'e': 0.038388398017552054}",20,13,12.1129484517,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.7, 'e': 0.038006427075174314}",20,14,10.0298868018,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.7, 'e': 0.0376282568071762}",20,13,10.1944028285,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.7, 'e': 0.03725384939621581}",25,19,7.14989787639,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.7, 'e': 0.036883167401239994}",30,18,24.3343821224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.7, 'e': 0.0365161737537404}",25,19,12.2741990363,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.7, 'e': 0.03615283175404641}",20,1,29.0230096632,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.7, 'e': 0.0357931050676553}",25,20,8.51963485725,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.7, 'e': 0.03543695772159864}",20,14,12.2983601767,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.7, 'e': 0.035084354100845025}",25,14,20.9429028121,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.7, 'e': 0.03473525894473856}",20,16,6.51327800363,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.7, 'e': 0.03438963734347271}",25,10,5.50012863678,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
338,False,"{'a': 0.7, 'e': 0.034047454734599344}",25,11,26.0250809804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.7, 'e': 0.033708676899572396}",20,7,20.8327348198,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.7, 'e': 0.03337326996032608}",20,13,14.4221933364,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.7, 'e': 0.03304120037588693}",25,5,20.5877795744,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.7, 'e': 0.03271243493901982}",25,14,21.4430173331,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.7, 'e': 0.03238694077290704}",30,17,11.6390866612,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.7, 'e': 0.03206468532786077}",20,12,14.0162193601,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.7, 'e': 0.03174563637806794}",20,13,12.2324543225,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.7, 'e': 0.03142976201836771}",20,15,11.0429009108,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.7, 'e': 0.03111703066106086}",25,14,18.6618989285,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.7, 'e': 0.030807411032751076}",25,18,10.8767044171,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.7, 'e': 0.030500872171217483}",20,10,19.0196038982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.7, 'e': 0.0301973834223185}",30,24,11.331676314,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.7, 'e': 0.029896914436926308}",30,4,46.4319716151,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.7, 'e': 0.029599435167892}",25,11,26.5395540484,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.7, 'e': 0.029304915867040746}",20,7,25.9611224412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.7, 'e': 0.029013327082197053}",30,16,19.8350308714,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.7, 'e': 0.028724639654239423}",30,19,20.6162251042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.7, 'e': 0.028438824714184505}",30,11,35.7685529304,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.7, 'e': 0.028155853680300096}",25,0,38.9882203291,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
358,False,"{'a': 0.7, 'e': 0.027875698255247015}",20,14,9.82296007545,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.7, 'e': 0.027598330423249287}",20,12,16.1879619294,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.7, 'e': 0.02732372244729256}",25,15,20.5862069358,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.7, 'e': 0.027051846866350416}",25,8,25.1959251525,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.7, 'e': 0.026782676492638175}",20,10,19.7703719261,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.7, 'e': 0.02651618440889418}",25,8,30.5623283378,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.7, 'e': 0.02625234396568796}",30,16,-17.206811858,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
365,False,"{'a': 0.7, 'e': 0.025991128778755347}",20,10,21.4825815567,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.7, 'e': 0.02573251272635994}",25,18,11.6374843761,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.7, 'e': 0.025476469946681016}",25,0,40.8053845308,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
368,False,"{'a': 0.7, 'e': 0.025222974835227212}",30,21,13.8176028452,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.7, 'e': 0.024972002042276155}",25,11,25.5799246291,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.7, 'e': 0.024723526470339388}",20,14,11.139878677,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.7, 'e': 0.02447752327165267}",25,12,24.2910117072,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.7, 'e': 0.024233967845691113}",25,18,15.6235153036,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.7, 'e': 0.023992835836709175}",25,18,14.252351581,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.7, 'e': 0.023754103131304997}",20,15,9.22184413491,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.7, 'e': 0.023517745856009107}",35,15,36.6834342948,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.7, 'e': 0.023283740374897}",20,14,10.9251802093,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.7, 'e': 0.02305206328722557}",20,3,30.9068496702,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.7, 'e': 0.02282269142509297}",30,12,30.5786108299,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.7, 'e': 0.022595601851121864}",20,6,13.5947641899,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
380,False,"{'a': 0.7, 'e': 0.02237077185616559}",20,16,9.04585267363,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.7, 'e': 0.022148178957037315}",30,18,22.8950209825,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.7, 'e': 0.02192780089426161}",20,14,10.2913719034,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.7, 'e': 0.02170961562984857}",25,14,21.3035897371,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.7, 'e': 0.021493601345089923}",30,21,19.5041991743,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.7, 'e': 0.02127973643837717}",20,16,7.23957988492,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.7, 'e': 0.021067999523041434}",30,18,23.0666371898,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.7, 'e': 0.020858369425214716}",20,5,21.5064555721,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.7, 'e': 0.020650825181712566}",25,17,16.1454971061,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.7, 'e': 0.020445346037937653}",20,16,7.64796449802,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.7, 'e': 0.02024191144580439}",25,15,18.7556169896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.7, 'e': 0.020040501061684014}",25,4,40.9873395831,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.7, 'e': 0.019841094744370288}",20,11,18.6400941065,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.7, 'e': 0.019643672553065292}",30,12,21.7546931709,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
394,False,"{'a': 0.7, 'e': 0.01944821474538539}",20,12,17.7160618133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.7, 'e': 0.01925470177538692}",30,4,2.48044815361,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 0}",1
396,False,"{'a': 0.7, 'e': 0.019063114291611637}",30,14,33.8352690906,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.7, 'e': 0.018873433135151486}",35,16,34.0228512529,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.7, 'e': 0.018685639337732773}",30,18,20.1613390345,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.7, 'e': 0.018499714119819242}",30,17,24.4668042701,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.7, 'e': 0.01831563888873418}",20,6,26.2193992185,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.7, 'e': 0.018133395236801075}",25,5,24.4817646123,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
402,False,"{'a': 0.7, 'e': 0.01795296493950285}",20,14,7.84925626722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.7, 'e': 0.01777432995365944}",20,14,9.54138452424,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.7, 'e': 0.017597472415623393}",25,14,18.6176333406,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
