trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.7, 'e': 0.48190899009020244}",20,13,12.4571724177,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.4771139155210344}",30,8,1.47983700182,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.4723665527410147}",20,15,-4.16444283077,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.46766642700990924}",20,0,-1.17294777422,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
77,False,"{'a': 0.7, 'e': 0.46301306831122807}",25,0,14.7322031249,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.7, 'e': 0.4584060113052235}",25,0,16.745867028,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.7, 'e': 0.45384479528235583}",30,0,-7.09306616754,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.44932896411722156}",25,0,-85.3859111843,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.7, 'e': 0.4448580662229411}",20,0,-37.8325957304,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
82,False,"{'a': 0.7, 'e': 0.44043165450599925}",30,4,-41.4784750008,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.43604928632153556}",20,0,-48.2725351474,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
84,False,"{'a': 0.7, 'e': 0.43171052342907973}",25,8,-25.8450681131,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.7, 'e': 0.4274149319487267}",25,0,-96.9321581691,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
86,False,"{'a': 0.7, 'e': 0.4231620823177488}",25,12,8.30472092726,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.418951549247639}",20,8,12.8992162375,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.4147829116815814}",30,19,13.2408885564,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.4106557527523455}",25,0,-110.585003822,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
90,False,"{'a': 0.7, 'e': 0.4065696597405991}",20,0,-57.1014256736,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
91,False,"{'a': 0.7, 'e': 0.40252422403363597}",20,0,-18.6732985394,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.7, 'e': 0.39851904108451414}",20,11,18.4007687369,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.3945537103716011}",20,13,12.5706576784,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.3906278353585211}",25,0,-9.73054770913,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.7, 'e': 0.3867410234545012}",20,15,0.551415816142,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.38289288597511206}",20,0,-0.614058444258,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
97,False,"{'a': 0.7, 'e': 0.37908303810339883}",20,2,-35.0266534195,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
98,False,"{'a': 0.7, 'e': 0.37531109885139957}",30,8,-2.21618834146,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.3715766910220457}",25,16,6.36151929265,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
